,features,coefs,mae
59,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1009.58716787  169.02175872  909.76334726   15.31438129  -82.19410861
    7.52026632   30.83113443  116.4622084  -434.14368781  222.74081925
  319.33739856 -317.67458746]",623.5099861224174
60,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1009.0974607   -32.69801341  170.80292819  917.71869049   14.57501533
  -84.18507978   29.29603046  115.9140403  -439.73940789  244.05421435
 -312.99681423 -423.07934156]",623.5101661597765
61,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1009.58789764  169.03217494  909.7510631    15.31723453  -82.18756238
    7.52507528   30.84022487  116.4688117  -434.14181234  222.73745933
  216.99951541 -100.92929561 -351.85838005]",623.5205284168406
62,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.83375726  -28.1667228   319.32038631  918.50040299   11.65165281
  145.50215668  -54.75652741   20.40606549   42.7990717   240.05395275
 -434.60358064  243.53545602 -312.36211058 -421.78423661]",623.5234330007797
63,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.61040934  -27.30438039  318.77310448  915.83909617   14.1755271
  131.3894484   -68.74607949    6.45007476  225.41958472 -436.4185741
  240.60377648 1242.14922736  909.94129862]",623.5236859127085
64,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1009.18371351  -30.67917538  166.97348667  917.55252388    9.34712405
   54.71734384  -81.23971646    7.79454527   34.32235178  118.45553168
 -440.08827261  242.31467768 -314.59265997 -423.83396855]",623.5290173947562
65,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1009.50805668  -34.08099408  150.06295795  920.35703703   13.55775645
   32.6548466    56.10118093  127.45584258 -437.02077472  246.70175259
  319.43511401 -312.41892259]",623.5389777762671
66,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1009.50891712  -34.07140168  150.07518325  920.34212637   13.56096249
   32.65761546   56.10813256  127.46164517 -437.0174927   246.69198106
  216.20668987 -101.80781638 -346.90096068]",623.5586062739618
67,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[ 1.01089787e+03 -2.79222575e+01 -1.20529153e+02  6.93332981e-01
  9.18475691e+02  1.15136653e+01 -9.31542625e+01 -5.36982545e+01
  2.07109200e+01  4.30354833e+01 -4.34408427e+02  2.43485977e+02
 -3.12396023e+02 -4.21837392e+02]",623.5663287586356
68,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1009.08451248  -32.66135302  170.83714976  917.67605655   14.56869625
  -84.18630848   29.28278925  115.93326089 -439.75217906  244.03990625
  318.1709153  -316.90522096]",623.5663393212142
69,"('yr', 'mnth', 'holiday', 'atemp', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.92662488  -27.46139689 -118.37728897  919.74409363   52.39245859
  -94.0099388   -54.10338968   20.39470036   45.76149746 -433.67773812
  242.11759137 1235.68769355  901.6461891 ]",623.5677227285577
70,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1010.89483802  -27.92515015 -102.06776423   50.7598809   918.49322998
   11.50300032  -55.5731615   -53.63415072   20.76756956   43.09053447
   37.98565883 -434.39745408  243.49209394 -312.39733657 -421.83614711]",623.5680626254126
